Model,R2,MAE,RMSE
Linear Regression,-9144807903882160.0,116248.02501471373,9479142.28260189
Ridge Regression,0.001574729208037473,0.06054308331478756,0.09904659063748184
Lasso Regression,0.005573090670207614,0.05970868306322686,0.09884806734051817
ElasticNet,0.007927205107416069,0.059689061361136976,0.09873099612019666
